code,name
A79,Злоякісне новоутворення БДУ
A79,Злоякісне новоутворення БДУ
A79,Злоякісне новоутворення БДУ
A79,Злоякісне новоутворення БДУ
A79,Злоякісне новоутворення БДУ
A79,Злоякісне новоутворення БДУ
A79,Злоякісне новоутворення БДУ
A79,Злоякісне новоутворення БДУ
A79,Злоякісне новоутворення БДУ
A79,Злоякісне новоутворення БДУ
A79,Злоякісне новоутворення БДУ
A79,Злоякісне новоутворення БДУ
A79,Злоякісне новоутворення БДУ
A79,Злоякісне новоутворення БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A80,Травма / пошкодження БДУ
A81,Численні травми / пошкодження
A81,Численні травми / пошкодження
A81,Численні травми / пошкодження
A81,Численні травми / пошкодження
A81,Численні травми / пошкодження
A81,Численні травми / пошкодження
A81,Численні травми / пошкодження
A81,Численні травми / пошкодження
A81,Численні травми / пошкодження
A81,Численні травми / пошкодження
A81,Численні травми / пошкодження
A81,Численні травми / пошкодження
A81,Численні травми / пошкодження
A81,Численні травми / пошкодження
A81,Численні травми / пошкодження
A81,Численні травми / пошкодження
A81,Численні травми / пошкодження
A81,Численні травми / пошкодження
A81,Численні травми / пошкодження
A81,Численні травми / пошкодження
A81,Численні травми / пошкодження
A81,Численні травми / пошкодження
